,Perfil Pymetrics,Altamente Recomendado,Operaciones-Calidad,MTTO-DIMA,Comercial-Planeamiento,DIGI-SC,Resto-Soft,Actividad Grupal.1,Apto AG,Ingles,Apto,Destacado,Destacado Pym,Ingresados Si/No
387,4,1,0,0,2,0,0,0,0,0.0,0,0,0,0
391,1,1,1,2,0,2,0,0,0,0.0,0,0,0,0
393,10,1,1,2,2,1,1,0,0,3.0,0,0,0,0
399,4,1,2,0,0,1,0,0,0,0.0,0,0,0,0
401,4,1,2,0,0,0,0,0,0,0.0,0,0,0,0
403,4,1,2,1,0,2,2,0,0,0.0,0,0,0,0
405,1,0,0,1,0,1,0,0,0,0.0,0,0,0,0
408,10,1,2,1,2,1,2,4,0,4.0,1,1,1,1
410,4,1,1,2,0,0,1,0,0,0.0,0,0,0,0
412,10,1,0,2,1,0,2,0,0,0.0,0,0,0,0
416,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
423,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
425,4,1,0,2,0,0,2,0,0,2.0,0,0,0,0
426,10,1,1,2,0,0,0,4,0,4.0,1,1,1,1
436,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
437,1,1,2,0,0,0,0,0,0,0.0,0,0,0,0
438,1,1,2,2,0,1,0,0,0,2.0,0,0,0,0
439,1,0,0,0,1,1,0,0,0,0.0,0,0,0,0
440,1,1,0,0,2,1,1,0,0,0.0,0,0,0,0
445,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0
447,10,1,2,0,0,0,2,0,0,4.0,0,0,0,0
452,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
456,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
458,1,1,2,2,0,2,2,0,0,4.0,0,0,0,0
460,1,1,0,0,0,2,1,0,0,5.0,0,0,0,0
463,1,0,0,0,1,0,2,0,0,0.0,0,0,0,0
466,1,1,2,2,2,1,0,3,0,4.0,1,0,0,0
469,1,0,0,1,0,0,1,0,0,0.0,0,0,0,0
470,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
472,4,1,0,2,0,2,2,0,0,0.0,0,0,0,0
474,10,1,0,2,2,0,2,0,0,0.0,0,0,0,0
479,4,1,0,1,2,0,2,0,0,5.0,0,0,0,0
480,4,1,1,0,0,2,0,0,0,0.0,0,0,0,0
482,1,1,2,0,0,0,2,0,0,0.0,0,0,0,0
484,1,0,1,0,1,0,2,0,0,0.0,0,0,0,0
485,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
486,1,1,2,0,2,0,0,0,0,5.0,0,0,0,0
488,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
496,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
497,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
501,4,1,2,0,1,1,2,0,0,3.0,0,0,0,0
506,1,0,0,1,0,0,1,0,0,0.0,0,0,0,0
507,1,1,2,2,0,0,1,0,0,4.0,0,0,0,0
511,4,1,2,1,0,1,0,0,0,0.0,0,0,0,0
512,10,1,1,0,0,2,0,0,0,0.0,0,0,0,0
513,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
514,1,1,2,1,2,1,2,0,0,5.0,0,0,0,0
519,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0
521,4,1,1,2,0,0,0,0,0,0.0,0,0,0,0
525,1,1,0,2,0,0,0,0,0,0.0,0,0,0,0
529,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
535,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0
536,10,1,1,2,0,1,1,0,0,6.0,0,0,0,0
538,4,0,0,0,0,0,1,0,0,4.0,0,0,0,1
539,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
541,4,0,0,0,0,0,1,0,0,0.0,0,0,0,0
549,1,1,0,0,0,2,1,0,0,4.0,0,0,0,0
550,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
555,1,1,2,2,0,2,0,3,0,5.0,1,0,0,0
556,1,1,0,2,0,2,0,4,0,4.0,1,1,1,1
557,1,1,2,2,2,1,0,0,0,5.0,0,0,0,0
560,4,0,1,0,0,0,0,0,0,0.0,0,0,0,0
578,3,1,1,2,0,0,0,0,0,0.0,0,0,0,0
582,4,0,0,0,0,1,0,0,0,0.0,0,0,0,0
588,4,0,0,0,0,0,2,0,0,0.0,0,0,0,0
591,1,1,2,2,0,0,0,4,0,4.0,1,1,1,1
592,1,1,2,1,0,0,1,4,0,5.0,1,1,1,1
594,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
595,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0
596,4,0,0,0,0,0,2,0,0,0.0,0,0,0,0
599,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0
600,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0
605,1,0,0,1,0,1,2,0,0,0.0,0,0,0,0
606,4,1,0,0,2,0,0,3,0,3.0,1,0,0,0
608,4,0,0,0,0,0,1,0,0,0.0,0,0,0,0
609,4,0,0,1,0,0,2,3,0,2.0,1,0,0,0
610,1,0,0,0,0,0,2,0,0,0.0,0,0,0,0
611,4,0,1,0,0,0,0,0,0,0.0,0,0,0,0
612,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
613,1,1,0,2,0,0,0,0,0,2.0,0,0,0,0
614,4,1,0,2,0,0,1,0,0,5.0,0,0,0,0
615,4,1,1,2,2,0,2,4,0,5.0,1,1,1,1
618,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
619,4,0,0,0,0,0,1,0,0,0.0,0,0,0,0
626,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0
628,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
